Speaker_ID,L1_Background,Audio_File,Rater_1_Tim,Rater_2,Rater_3,Rater_4,Rater_5
ABA,Arabic,ABA_arctic_b0525.wav,3,5,4,4,3
ASI,Hindi,ASI_arctic_b0525.wav,3,4,3,4,4
BWC,Chinese,BWC_arctic_b0525.wav,3,3,3,3,2
EBVS,Spanish,EBVS_arctic_a0489.wav,5,4,5,4,4
ERMS,Spanish,ERMS_arctic_b0525.wav,3,4,3,3,4
HJK,Korean,HJK_arctic_b0525.wav,1,1,1,1,1
HKK,Korean,HKK_arctic_b0525.wav,3,3,3,2,3
HQTV,Vietnamese,HQTV_arctic_b0525.wav,2,3,2,3,3
LXC,Chinese,LXC_arctic_b0525.wav,3,3,3,3,4
MBMPS,Spanish,MBMPS_arctic_b0525.wav,2,3,2,3,2
NCC,Chinese,NCC_arctic_b0525.wav,2,2,2,2,1
NJS,Spanish,NJS_arctic_b0525.wav,3,1,2,2,1
PNV,Vietnamese,PNV_arctic_b0525.wav,1,2,1,2,2
RRBI,Hindi,RRBI_arctic_b0525.wav,4,3,4,3,3
SKA,Arabic,SKA_arctic_b0189.wav,5,5,5,5,4
SVBI,Hindi,SVBI_arctic_b0525.wav,5,4,4,5,4
THV,Vietnamese,THV_arctic_b0525.wav,3,3,3,3,2
TLV,Vietnamese,TLV_arctic_b0525.wav,3,3,3,4,3
TNI,Hindi,TNI_arctic_b0525.wav,2,2,2,2,3
TXHC,Chinese,TXHC_arctic_b0525.wav,4,2,3,3,2
YBAA,Arabic,YBAA_arctic_b0525.wav,3,2,2,3,2
YDCK,Korean,YDCK_arctic_b0525.wav,2,1,2,1,1
YKWK,Korean,YKWK_arctic_b0525.wav,2,2,2,3,2
ZHAA,Arabic,ZHAA_arctic_b0525.wav,3,2,3,2,2